                   Hin-Har                     English
84                                                   आखरी                                                        Last
85                                                  बाद म                                                       Later
86                                                  सीखणा                                                       Learn
87                                                  छोडीए                                                       Leave
88                                                   बाया                                                        Left
89                                                   चालो                                                         Let
90                                                   चीठी                                                      Letter
91                                                 जींदगी                                                        Life
92                                                  रोशनी                                                       Light
93                                                   जीसा                                                        Like
94                                                     लन                                                        Line
95                                                  प्रची                                                        List
96                                                   थोडा                                                      Little
97                                                   जीणा                                                        Live
98                                                 लाम्बा                                                        Long
99                                                  देजखए                                                        Look
100                                                  खोया                                                        Lose
101                                                  main                                                        Main
102                                               बनानाणा                                                        Make
103                                                  आदमी                                                         Man
104                                                   घणे                                                        Many
105                                                 sakna                                                         May
106                                                 मेरती                                                          Me
107                                                  मतलब                                                        Mean
108                                                 जमलणा                                                        Meet
109                                                 बीच म                                                         Mid
110                                                   दधू                                                        Milk
111                                                  गलती                                                     Mistake
112                                                ज्यादा                                                        More
113                                                सूबेरे                                                     Morning
114                                                  मााँ                                                      Mother
115                                                   पाड                                                    Mountain
116                                                   चाल                                                        Move
117                                                   बोत                                                        Much
118                                                 थोबड़ा                                                       mouth
119                                                नास्टी                                                        nose
120                                                  दीदे                                                        eyes
121                                                  दांद                                                       teeth
122                                                  ठुड़ी                                                        chin
123                                                 बासळा                                                    backdisk
124                                                    आथ                                                        hand
125                                                 आँगळी                                                      finger
126                                                 कुहणी                                                       elbow
127                                                  कोणी                                                       elbow
128                                                  गोड़ा                                                        Knee
129                                                 टाकणा                                                       ankle
130                                                  पट्ट                                                       thigh
131                                                   पाँ                                                         leg
132                                                  सातल                                                       thigh
133                                                 जिगड़ा                                                       liver
134                                                डिग्गी                                                 sixpack abs
135                                                  बोडर                                                         cow
136                                                    गऊ                                                         cow
137                                                    गौ                                                         cow
138                                                   बलध                                                          ox
139                                                 बाछड़ा                                                 calf of cow
140                                                   बछि                                                 calf of cow
141                                                 खोलड़ा                                                     Buffalo
142                                                  खोला                                                     Buffalo
143                                                  झोटा                                                   masculine
144                                                 काटडू                                                        calf
145                                                 काटड़ा                                                        calf
146                                                   टेम                                                        time
147                                              तड़के तड़क                                                     morning
148                                                 दफैरी                                                        noon
149                                                  साँझ                                                     evening
150                                                   रैत                                                       night
151                                                  सीळै                                                soft weather
152                                                   अभि                                                        Just
153                                                  सकना                                                         May
154                                                एड्डी                                                         Heel
155                                                 आबल\n                                                        More
156                                                   आड                                                   for hiding
157                                                 आड़ै                                                        Here 
158                                                  आढळ                                                    cover-up 
159                                                आहलणा                                                        Nest 
160                                                   आहो                                                         Yes
161                                                 आख्यर                                                     Extreme
162                                           सुण ले झकोई                                                   Excuse me
163                                            जाण दे उसन                                                  Let him go
164                                                 तावळा                                                        Fast
165                                                 चिकणा                                                      Smooth
166                                                 लुगाई                                                      Ladies
167                                            सुलटा दिया                                                    Resolved
168                                                 सपोड़ा                                                    Slapping
169                                                डिग ले                                                     Lets go
170                                            गोली हो ले                                                          Go
171                                                   बहु                                                        Wife
172                                              अड़े नै आ                                                   Come here
173                                              नु का नु                                                Same to same
174                                                   घाम                                                    Sunlight
175                                               पड़ ज्या                                                    Go There
176                                                   घणा                                                        Very
177                                                 डांगर                                                      Animal
178                                                  बलैद                                                          Ox
179                                                  मूसा                                                         Rat
180                                                  गंडा                                                   Sugarcane
181                                           बावळी तरेड्                                                    Confused
182                                                  झोला                                                      Basket
183                                                   खाट                                                         Bed
184                                                 बारणा                                                        Gate
185                                                गुद्दी                                                        Neck
186                                                  गोडा                                                        Knee
187                                                 आंगळी                                                      Finger
188                                             आंख दुखनी                                                   sore eyes
189                                              एल्डगोजा                                                       Flute
190                                                 बालाड                                                          Ox
191                                                   बलध                                                        Bull
192                                             बालदाकिसु                                                 Swear by ox
193                                                बलियां                                                    Baniyaan
194                                               बाराफ़ी                                                   ice-cream
195                                                 बीजना                                                    Hand fan
196                                                 भरोटा                                                       bajra
197                                                बुखारी                                                       Broom
198                                                बुखारी                                                       fever
199                                                  चमसा                                                Rainy season
200                                                चिपकली                                                      Lizard
201                                               चुचुंदर                                                         Bat
202                                              च्यानहनी                                               Funeral place
203                                                   डाक                                                        Jump
204                                                दम्हुई                                              Double headed 
205                                                  दंडो                                                       Teeth
206                                                डैंडरी                                                Childs teeth
207                                                डांगार                                                Animal stock
208                                                  धीड़                                                    Drainage
209                                                  धीरा                                                    Headlice
210                                                 धिदाय                                                         Eye
211                                                  धूमा                                                       Smoke
212                                                  डूबो                                                       grass
213                                                  गाली                                                       abuse
214                                                 गावडी                                                         Cow
215                                                   गभा                                                         Old
216                                                 गबसुआ                                                  Safety pin
217                                                  गंडे                                                   Sugarcane
218                                                जिएंडो                                                        Ball
219                                                  घैती                                                        Neck
220                                                  गूथी                                                        Ring
221                                                  गोसा                                                   Dungcake 
222                                                  जादा                                                     winters
223                                                 जर्सी                                                     sweater
224                                                  झोटी                                                     Buffalo
225                                                झोट्टा                                                Male buffalo
226                                                  जंगल                                                      forest
227                                               जुर्राब                                                       Socks
228                                                  कागो                                                        Crow
229                                                 खुरमा                                                        Aunt
230                                                कालाशो                                                       Kajal
231                                             करेलकांति                                                   Chameleon
232                                                 कसानो                                                     Utensil
233                                                 खांचा                                                         mud
234                                               खासोतनी                                                     Itching
235                                                   खाज                                                     Itching
236                                                  खाती                                                        Cot 
237                                                  खुता                                                        hope
238                                                किवाडी                                                        Door
239                                                कूट्रु                                                         Dog
240                                                 कुंडी                                                      Darwja
241                                                 कुंडा                                                      Darwja
242                                                 लप्सी                                                        Dish
243                                                 लातूर                                                       Hairs
244                                                  लाटे                                                     Clothes
245                                                 लीटर                                                         Seet
246                                                लिहाफ़                                                       Quilt
247                                                  लंदन                                                      London
248                                                  मीहो                                                        Rain
249                                             मुह दिखाई                                                  face shown
250                                                मुंजिक                                                       miser
251                                                  नाहु                                                       Nails
252                                                नारिया                                                          Ox
253                                                   ओले                                                       Hails
254                                                   ऊटी                                                     Naughty
255                                                पादकला                                                   Staircase
256                                                  राचो                                                     Things.
257                                                  रासा                                                        rope
258                                                  रासी                                                        rope
259                                                   रीत                                                       Snort
260                                                   साग                                                   Vegetable
261                                                  सकली                                                    Door nob
262                                                  साँप                                                       Snake
263                                                 सागाई                                                  engagement
264                                                   सउद                                                       Quilt
265                                                श्याना                                                     Clever 
266                                                सुथानी                                                      shorts
267                                                  थूडी                                                        Chin
268                                                टूकानि                                                      Shiny 
269                                                ट्यूबल                                                    Tubewell
270                                                  यादी                                                      Friend
271                                                  दुरू                                                        Away
272                                                 पिचहे                                                        Back
273                                                 बुरा                                                          Bad
274                                              प्रतिबंध                                                         Ban
275                                               क्योंकि                                                     Because
276                                                  होना                                                      Become
277                                                बिस्तर                                                         Bed
278                                               के पहले                                                      Before
279                                             शुरुकर्ण:                                                       Begin
280                                                   ताक                                                       Below
281                                            के बिच में                                                     Between
282                                                  बारा                                                         Big
283                                                पुस्तक                                                        Book
284                                                  डोनो                                                        Both
285                                                  लरका                                                         Boy
286                                                  लाना                                                       Bring
287                                                परांतु                                                         But
288                                                 लेकिन                                                         But
289                                                 द्वार                                                          By
290                                                बुलाना                                                        Call
291                                                  सकना                                                         Can
292                                               कनास्टर                                                    Canister
293                                                    कर                                                         Car
294                                               ले जाना                                                       Carry
295                                                बदलाना                                                      Change
296                                                 बच्चे                                                    Children
297                                                   शहर                                                        City
298                                                  बैंड                                                       Close
299                                                 ठंडा:                                                        Cold
300                                                  आना:                                                        Come
301                                                    कफ                                                       cough
302                                                   देश                                                     country
303                                                  कटना                                                         cut
304                                                 दैनिक                                                       daily
305                                                   शोर                                                         day
306                                                भिन्नी                                                   different
307                                                  कर्ण                                                          do
308                                                दरवाजा                                                        door
309                                                   ताक                                                        down
310                                                 चींटी                                                         end
311                                               पर्यपति                                                      enough
312                                              प्रत्यय:                                                       every
313                                             उड़ानारणी                                                     example
314                                                   आंख                                                         eye
315                                                 चेहरा                                                        face
316                                                परिवार                                                      family
317                                             अरबी रोटी                                                      father
318                                                 जोड़ा                                                        foot
319                                                कुछ तो                                                         few
320                                                  पाना                                                        find
321                                                प्रथम:                                                       first
322                                          अनुकर्ण करना                                                      follow
323                                                  भोजन                                                        food
324                                               के लिये                                                         for
325                                                   रूप                                                        form
326                                                    से                                                        from
327                                                  पाना                                                         get
328                                                लार्की                                                        girl
329                                                  देना                                                        give
330                                                   जना                                                          go
331                                                अच्छा:                                                        good
332                                                  महान                                                       great
333                                                 समुहू                                                       group
334                                                  बदना                                                        grow
335                                                  हाथो                                                        hand
336                                                 कैथिन                                                        hard
337                                                   हाय                                                         has
338                                                   वही                                                          he
339                                                 महोदय                                                        head
340                                                सुनाना                                                        hear
341                                             मदद करना:                                                        help
342                                                याहानी                                                        here
343                                                  ऊंचा                                                        high
344                                                  गरमी                                                         hot
345                                                   घरो                                                       house
346                                                  कैसे                                                         how
347                                                   माई                                                           I
348                                                 विचार                                                        Idea
349                                                  यादी                                                          If
350                                           महात्वपूर्ण                                                   Important
351                                                  मुझे                                                          In
